last_name,first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,swing_percent
McNeil,Jeff,2019,27,510,567,162,100,38,1,23,75,35,13.2,6.2,0.318,0.531,0.384,0.916,6,21,2,0,1,0.291,0.478,0.385,0.361,0.362,0.187,89,13.8,34.2,4.8,20,59.9
Albies,Ozzie,2019,22,640,702,189,114,43,8,24,112,54,16,7.7,0.295,0.5,0.352,0.852,4,4,6,0,4,0.292,0.497,0.354,0.356,0.35,0.205,88.9,15.6,36.8,6.6,23,55.5
Robles,Victor,2019,22,546,617,139,86,33,3,17,140,35,22.7,5.7,0.255,0.419,0.323,0.742,9,25,3,6,5,0.234,0.379,0.317,0.3,0.31,0.145,83.3,16.7,34.1,4.8,23.5,48.9
Devers,Rafael,2019,23,647,702,201,111,54,4,32,119,48,17,6.8,0.311,0.555,0.36,0.915,8,4,7,1,2,0.302,0.533,0.377,0.371,0.355,0.231,92.5,10.6,33,9,24,54.9
Jimenez,Eloy,2019,23,468,504,125,74,18,2,31,134,30,26.6,6,0.267,0.513,0.315,0.828,0,4,0,0,2,0.27,0.526,0.343,0.355,0.319,0.256,91.2,9.3,32.4,12.8,32.8,49.9
Torres,Gleyber,2019,23,546,604,152,88,26,0,38,129,48,21.4,7.9,0.278,0.535,0.336,0.871,2,3,3,1,6,0.262,0.501,0.359,0.347,0.324,0.239,89.1,17.7,38,10.1,28,51.8
Chapman,Matt,2019,26,583,670,145,70,36,3,36,147,73,21.9,10.9,0.249,0.506,0.342,0.848,1,11,0,0,3,0.255,0.507,0.354,0.362,0.349,0.252,92.7,16.4,25.1,12.1,23.7,42
Hoskins,Rhys,2019,26,570,705,129,62,33,5,29,173,116,24.5,16.5,0.226,0.454,0.363,0.818,2,11,6,0,6,0.221,0.429,0.347,0.344,0.362,0.209,89.8,23.9,31,9.7,23.2,39.2
Schwarber,Kyle,2019,26,529,610,132,62,29,3,38,156,70,25.6,11.5,0.25,0.531,0.339,0.871,3,5,5,0,6,0.267,0.558,0.357,0.378,0.357,0.291,93.5,15.5,35.4,14.5,28.1,43
DeJong,Paul,2019,26,583,664,136,74,31,1,30,149,62,22.4,9.3,0.233,0.444,0.318,0.762,5,13,1,0,6,0.239,0.448,0.322,0.333,0.326,0.209,87.1,18.2,33,8.6,24.2,48.8
Moncada,Yoan,2019,24,511,559,161,97,34,5,25,154,40,27.5,7.2,0.315,0.548,0.367,0.915,3,4,2,1,3,0.285,0.523,0.38,0.362,0.341,0.238,93.1,12.3,40.4,12.2,31,47.3
Acuna Jr.,Ronald,2019,22,626,715,175,110,22,2,41,188,76,26.3,10.6,0.28,0.518,0.364,0.881,9,9,4,0,1,0.282,0.578,0.369,0.393,0.368,0.296,90.6,14.2,40.5,15,27.7,45.5
Fletcher,David,2019,25,596,653,173,133,30,4,6,64,55,9.8,8.4,0.29,0.384,0.349,0.733,3,0,2,1,1,0.297,0.377,0.318,0.324,0.357,0.08,83.8,9.7,37.5,0.2,9.8,36.2
Guerrero Jr.,Vladimir,2019,20,464,514,126,83,26,2,15,91,46,17.7,8.9,0.272,0.433,0.339,0.772,1,2,0,0,2,0.261,0.435,0.329,0.331,0.33,0.174,89.4,6.7,30.9,7.7,24.5,46.8
Soto,Juan,2019,21,542,659,153,82,32,5,34,132,108,20,16.4,0.282,0.548,0.401,0.949,1,3,3,0,6,0.288,0.584,0.394,0.414,0.407,0.296,92,12.5,36.3,12.3,24,40.7
Reynolds,Bryan,2019,24,491,546,154,97,37,4,16,121,46,22.2,8.4,0.314,0.503,0.377,0.88,2,6,0,0,3,0.3,0.487,0.371,0.367,0.367,0.187,89.5,9.5,37.3,6.7,26.3,48
