playerID,yearID,stint,TeamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
hillti01,2020,1,SDP,NL,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
hillisa01,2020,1,COL,NL,97,284,35,59,5,5,16,27,8,0,24,113,0,0,0,0,0
hiurake01,2020,1,MIL,NL,159,586,81,124,11,0,35,86,8,5,43,230,5,30,0,5,19
hoernni01,2020,1,CHC,NL,130,292,51,65,11,0,0,35,8,5,32,65,0,8,0,5,8
holadbr01,2020,1,BAL,AL,54,84,14,14,3,0,0,11,0,0,5,24,0,0,0,0,3
holdejo02,2020,1,NYY,AL,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holtbr01,2020,1,TOT,NL,97,257,32,54,16,0,0,14,3,0,24,65,0,3,0,3,8
hoskirh01,2020,1,PHI,NL,111,408,95,100,24,0,27,70,3,0,78,116,0,14,0,0,11
hosmeer01,2020,1,SDP,NL,103,386,62,111,16,0,24,97,11,0,24,76,0,5,0,5,8
hudsojo03,2020,1,SEA,AL,24,46,0,8,0,0,0,0,0,0,5,14,0,0,3,0,0
huffsa01,2020,1,TEX,AL,27,84,14,30,8,0,8,11,0,0,5,30,0,0,0,0,0
iglesjo01,2020,1,BAL,AL,105,383,43,143,46,0,8,65,0,0,8,46,0,11,0,3,3
iglesra01,2020,1,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inciaen01,2020,1,ATL,NL,124,313,46,59,5,3,3,27,11,3,32,68,0,0,3,5,0
jacksal02,2020,1,ATL,NL,14,19,0,5,3,0,0,0,0,0,0,11,0,0,0,0,3
jankotr01,2020,1,CIN,NL,43,41,8,3,0,0,0,0,5,3,5,19,0,0,0,0,3
janseda01,2020,1,TOR,AL,116,324,49,59,8,0,16,54,0,0,57,84,0,5,8,3,3
jayjo02,2020,1,ARI,NL,49,135,14,22,3,0,3,11,0,0,8,32,0,3,0,8,0
jeffery01,2020,1,MIN,AL,70,149,14,41,0,0,8,19,0,0,14,51,0,5,0,0,0
jeffrje01,2020,1,CHC,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jimenel02,2020,1,CHW,AL,149,575,70,170,38,0,38,111,0,0,32,151,0,0,0,3,11
johnsda07,2020,1,CLE,AL,14,32,0,3,0,0,0,0,0,0,3,14,3,0,0,0,0
jonesja07,2020,1,DET,AL,81,262,51,70,24,0,14,38,3,3,19,92,0,8,0,3,3
jonesja08,2020,1,LAA,AL,8,19,5,8,0,0,0,3,0,0,0,5,0,0,0,0,0
jonesta01,2020,1,HOU,AL,19,57,8,11,3,0,3,8,0,0,3,19,0,0,0,0,5
josepca01,2020,1,TOR,AL,8,22,5,3,0,0,3,5,0,0,3,3,0,0,0,0,0
joycema01,2020,1,MIA,NL,124,343,43,86,11,0,5,38,3,0,54,111,0,0,0,3,8
judgeaa01,2020,1,NYY,AL,76,273,62,70,8,0,24,59,0,3,27,86,0,5,0,0,14
kelletr01,2020,1,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellyca02,2020,1,ARI,NL,105,329,30,73,14,0,14,51,0,0,16,78,0,3,0,0,11
kempma01,2020,1,COL,NL,116,316,49,76,8,0,16,57,3,0,41,111,3,0,0,0,14
kempto01,2020,1,OAK,AL,132,251,41,62,14,0,0,11,8,3,41,38,0,8,3,5,0
kendrho01,2020,1,WSN,NL,68,246,30,68,11,0,5,38,0,0,19,46,5,0,0,5,11
keplema01,2020,1,MIN,AL,130,462,73,105,24,0,24,62,8,0,59,97,0,5,0,3,3
kieboca01,2020,1,WSN,NL,89,267,41,54,3,0,0,24,0,3,46,89,0,14,0,3,16
kiermke01,2020,1,TBR,AL,132,373,43,81,14,8,8,59,22,3,54,113,3,3,0,0,5
kimbrcr01,2020,1,CHC,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kineris01,2020,1,TEX,AL,157,570,76,159,11,8,8,27,22,14,38,86,0,5,0,3,16
kingesc01,2020,1,PHI,NL,97,305,32,49,14,0,8,16,0,0,24,95,0,3,3,0,3
kipnija01,2020,1,CHC,NL,119,308,35,73,22,3,8,43,3,0,49,111,0,3,0,5,3
kirkal01,2020,1,TOR,AL,24,65,11,24,5,0,3,8,0,0,3,11,0,0,0,0,0
knappan01,2020,1,PHI,NL,89,194,24,54,11,3,5,41,0,0,41,51,0,3,0,3,3
kniznan01,2020,1,STL,NL,22,43,3,11,3,0,0,11,0,0,0,14,0,0,0,3,5
kolarad01,2020,1,LAD,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kratzer01,2020,1,NYY,AL,43,76,5,24,5,0,0,11,0,0,5,16,0,0,0,0,0
lasteto01,2020,1,TOT,AL,149,529,84,149,38,5,14,68,3,0,73,32,0,5,3,5,16
lagarju01,2020,1,NYM,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lakintr01,2020,1,BAL,AL,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lambja01,2020,1,TOT,MLB,84,238,19,46,14,0,8,27,0,3,22,68,0,8,0,0,3
laurera01,2020,1,OAK,AL,146,494,73,105,22,3,16,68,5,3,65,157,0,32,0,8,19
lavarry01,2020,1,MIA,NL,14,30,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0
lemahdj01,2020,1,NYY,AL,135,527,111,192,27,5,27,73,8,0,49,57,0,5,0,3,8
leonsa01,2020,1,CLE,AL,68,178,11,24,3,0,5,11,0,0,38,57,0,3,0,0,5
lewisky01,2020,1,SEA,AL,157,556,100,146,8,0,30,76,14,3,92,192,0,0,0,5,14
lintz02,2020,1,BOS,AL,70,140,5,22,3,0,0,8,0,0,5,46,0,0,5,3,3
lindofr01,2020,1,CLE,AL,162,637,81,165,35,0,22,73,16,5,65,111,5,11,0,5,22
locasti01,2020,1,ARI,NL,89,186,41,54,11,3,5,19,11,0,22,38,0,11,3,0,0
longsh01,2020,1,SEA,AL,92,316,27,54,14,0,8,24,11,0,30,100,0,0,0,0,3
longoev01,2020,1,SFG,NL,143,521,70,132,27,3,19,76,0,3,30,105,0,5,0,8,27
lopesti01,2020,1,SEA,AL,124,386,43,92,32,0,5,41,14,0,16,92,0,5,0,0,5
lopezni01,2020,1,KCR,AL,151,456,41,92,22,0,3,35,0,14,49,111,0,5,8,0,3
lorenmi01,2020,1,CIN,NL,16,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0
lowebr01,2020,1,TBR,AL,151,521,97,140,24,5,38,100,8,0,68,157,0,11,0,5,5
lowena01,2020,1,TBR,AL,57,181,27,41,5,0,11,30,3,0,24,76,5,0,0,0,5
lucrojo01,2020,1,BOS,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lugoda01,2020,1,DET,AL,24,27,8,5,0,0,0,3,0,0,3,3,0,0,0,0,3
luplojo01,2020,1,CLE,AL,78,211,22,41,14,3,5,22,0,3,32,51,0,3,0,3,8
luxga01,2020,1,LAD,NL,51,170,22,30,5,0,8,22,3,0,16,51,0,0,0,0,0
machama01,2020,1,SDP,NL,162,605,119,184,32,3,43,127,16,8,70,100,11,0,0,11,24
machivi01,2020,1,OAK,AL,65,170,30,35,5,0,0,0,0,0,22,27,0,0,0,0,11
madrini01,2020,1,CHW,AL,78,278,22,95,8,0,0,30,5,3,11,19,0,5,0,0,14
maldoma01,2020,1,HOU,AL,127,365,51,78,11,0,16,65,3,0,73,138,0,3,5,0,5
marchra01,2020,1,PHI,NL,8,22,8,11,0,0,3,8,0,0,3,5,0,0,0,0,0
margoma01,2020,1,TBR,AL,127,392,51,105,24,0,3,30,32,11,35,68,0,0,0,3,0
marisja01,2020,1,NYM,NL,43,89,11,30,8,0,5,14,0,0,3,27,0,0,0,0,0
markani01,2020,1,ATL,NL,100,351,41,89,41,0,3,41,0,3,27,62,0,3,0,0,14
marmojo01,2020,1,SEA,AL,95,289,32,59,11,0,16,49,0,3,19,86,0,3,0,0,5
marteke01,2020,1,ARI,NL,122,489,51,140,38,3,5,46,3,0,19,57,0,11,0,8,5
martest01,2020,1,TOT,NL,165,616,97,173,38,3,16,73,27,5,32,111,3,24,0,3,14
martija03,2020,1,PIT,NL,19,24,5,0,0,0,0,0,0,0,5,11,0,0,0,0,0
martijd02,2020,1,BOS,AL,146,570,59,122,43,0,19,73,3,0,59,159,8,5,0,5,16
martijo08,2020,1,TOT,MLB,92,238,27,43,11,0,5,27,0,0,27,73,3,0,0,0,16
mateojo01,2020,1,SDP,NL,59,70,11,11,8,0,0,5,3,0,3,30,0,0,3,0,3
mathima01,2020,1,MIL,NL,43,97,5,27,8,0,0,11,3,0,0,19,0,0,0,0,0
mathije01,2020,1,TEX,AL,65,167,16,27,3,3,8,24,3,0,14,65,0,0,0,3,0
mathiwy01,2020,1,ARI,NL,24,73,14,16,0,0,5,14,0,0,14,32,0,3,0,0,0
maybica01,2020,1,TOT,MLB,86,251,22,62,22,3,3,19,8,0,19,68,0,3,0,0,11
mayfija01,2020,1,HOU,AL,57,113,14,22,3,0,0,8,0,0,5,38,0,3,3,3,3
mazarno01,2020,1,CHW,AL,113,367,35,84,16,0,3,41,0,3,27,119,0,8,0,0,0
mcbrory01,2020,1,KCR,AL,97,219,22,54,8,0,16,27,0,0,11,81,0,0,0,0,5
mccanja02,2020,1,CHW,AL,84,262,54,76,8,0,19,41,3,3,22,81,0,11,0,5,5
mccarjo04,2020,1,SFG,NL,11,27,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
